,Designnummer,Anzahl,,,von Käfer,Lego bestellt,,,
,4519,54,,,4,,,1,
,4588,13,,,,,,,
,4589,138,wie 59900,,24,,,,
,4590,3,wie 18624,,,,,,
,4595,10,,,,,,,
,4596,1,,,,,,,
,4599,38,,,1,,,,
,4600,3,wie 67687,,,,,,
,4623,32,wie 88072,,2,,,,
,4625,1,,,,,,,
,4697,16,,,,,,,
,4716,1,,,,,,,
,4733,24,,,6,,,2,
,4735,13,,,1,,,,
,4740,38,,,3,,,2,
,4854,2,,,,,,,
,4863,18,wie 61345,,,,,,
,4865,41,wie 26169,,2,,,,
,4871,14,,,,,,,
,6003,10,,,,,,,
,6005,17,,,,,,,
,6019,43,wie 61252,,7,,,16,
,6020,1,,,,,,,
,6081,2,,,,,,,
,6091,63,wie 32807,,,,,8,
,6106,15,,,,,,,
,6108,1,,,,,,,
,6111,12,,,,,,,
,6112,10,,,1,,,,
,6134,20,,,2,,,,
,6141,549,,,202,,,8,29
,6143,61,wie 3941,,1,,,25,
,6154,2,,,,,,,
,6178,3,,,,,,1,
,6179,70,,,,,,,
,6180,30,,,,,,,
,6182,4,,,,,,,
,6183,1,,,,,,,
,6190,20,,,,,,,
,6191,2,,,,,,,
,6192,4,,,,4,,,
,6215,1,,,,,,,
,6222,3,,,,,,,
,6231,15,,,,,,,
,6232,36,,,,,,,
,6233,15,,,,,,,
,6536,29,,,,,,,
,6541,67,,,21,,,,
,6553,5,,,,,,,
,6556,4,,,,,,,
,6558,120,"wie 42924, ähnlich zu 32556",,16,,,2,
,6562,34,"wie 3749, ähnlich zu 43093",,1,,,,
,6564,1,,,,,,,
,6565,1,,,,,,,
,6587,14,wie 13670,,2,,,,
,6628,14,wie 66906,,,,,,
,6629,9,,,,,,,
,6632,25,,,,,,8,
,6636,117,,,1,,,1,
,9244,1,,,,,,,
,10197,3,,,,,,,
,10201,17,wie 2436 und 28802,,,,,,
,10247,37,wie 2444,,,,,,
,10314,7,,,,,6,,
,11090,7,,,,,,,
,11153,52,,,,,,4,
,11203,11,,,,,,,
,11211,24,,,,,,6,
,11212,44,,,,,,,
,11213,2,,,,,,,
,11214,13,,,,8,,4,
,11215,7,,,,,,,
,11458,35,,,,,,,
,11476,6,,,2,,,,
,11477,79,,,,,,57,
,11833,2,,,,1,,,
,12825,220,wie 15712 und 2555,,3,,,,
,12939,3,wie 15254 und 3307,,,,,,
,13547,4,,,,2,,2,
,13670,14,wie 6587,,2,,,,
,13731,7,wie 85970,,,,,,
,13971,5,,,,,,,
,14301,4,,,,4,,,
,14395,17,wie 76768 und 2339,,,,,,
,14417,1,,,,,,,
,14418,2,,,,,,,
,14682,1,wie 40620 und 65571,,,,,,
,14704,1,,,,,,,
,14716,1,,,,,,,
,14718,2,,,,2,,,
,14719,15,,,,,,,
,14720,4,,,,,,,
,14769,7,,,3,,,1,
,14918,18,wie 3942,,2,,,,
,15068,52,,,1,4,20,20,
,15100,26,wie 65487,,,20,,6,
,15207,18,wie 43337,,,,,,
,15254,3,wie 12939 und 3307,,,,,,
,15392,1,in Kiste,,,,,,
,15397,2,,,,2,,,
,15461,13,wie 46189,,11,,,,
,15462,1,,,,1,,,
,15535,4,,,,,,1,
,15573,458,wie 3794,,45,,,19,
,15672,37,wie 92946,,,,,,
,15712,220,wie 2555 und 12825,,3,,,,
,16091,3,wie 30663,,,,,,
,16577,6,wie 3308,,,,,,
,17485,3,,,,,,1,
,17715,56,wie 87994,,,,,,
,17836,39,wie 88646,,,,,,
,18274,35,wie 63965,,,,,,
,18624,3,wie 4590,,,,,,
,18649,2,,,,,,,
,18651,21,ähnlich zu 65249,,,,,,
,18653,42,,,,,,,
,18654,11,,,,5,,,
,18671,5,wie 73562,,,,,,
,18674,3,,,,1,,,
,18677,33,wie 28809,,,,,,
,18747,3,in Kiste,,,,,,
,18759,8,wie 2341,,,,,,
,18974,2,,,,,,,
,19798,3,wie 3940,,,,,,
,19952,12,"Teil von 73983, wie 2429",,,,,,
,19953,12,"Teil von 73983, wie 2430",,,,,,
,20105,1,in Kiste,,,,,,
,20482,4,,,,,,,
,21462,15,wie 30374,,1,,,4,
,21712,59,wie 44728 und 92411,,3,,,,
,22885,18,,,,,,,
,22890,2,,,,,,,
,22961,10,,,,,,,
,23443,8,,,,,,,
,23893,39,wie 87580,,,,,,
,24201,38,,,,,,12,
,24246,41,,,,35,,,
,24299,1,,,,,,1,
,24307,1,,,,,,1,
