Part,Color,Quantity,Is Spare
22889,71,4,False
4519,71,4,False
32073,71,6,False
2736,71,8,False
32034,71,1,False
2730,71,2,False
3700,71,8,False
32064a,71,10,False
3701,71,1,False
3702,71,2,False
32123b,71,7,False
2723,71,4,False
2853,71,8,False
4274,71,1,False
4185,71,4,False
3069b,71,8,False
4162,71,2,False
20482,71,23,False
14769pr1200,71,1,False
14769pr1211,71,1,False
14769pr1197,71,2,False
14769pr1214,71,1,False
14769pr1194,71,2,False
22385pr2004,71,1,False
47397,71,1,False
47398,71,1,False
2450,71,2,False
60592,71,8,False
65304,27,8,False
36840,84,1,False
11215,84,5,False
73831,84,1,False
41948,84,2,False
96874,25,3,False
65304,25,8,False
59900,297,2,False
6141,297,94,False
65768,297,3,False
4599b,297,22,False
65304,297,4,False
98138pr0051,297,1,False
3003,4,3,False
2357,4,2,False
3001,4,40,False
3062b,4,2,False
60475b,4,10,False
30526,4,2,False
44865,4,2,False
11211,4,4,False
30383,4,1,False
3023,4,22,False
3623,4,3,False
3021,4,1,False
35480,4,1,False
18677,4,2,False
2817,4,4,False
3737,4,2,False
32062,4,46,False
3705,4,2,False
3707,4,5,False
6541,4,8,False
3068b,4,1,False
98138,4,6,False
6112,70,2,False
3622,70,6,False
3009,70,18,False
3003,70,30,False
2456,70,1,False
18653,70,24,False
92950,70,12,False
6091,70,24,False
78666,70,14,False
3062b,70,6,False
60475b,70,4,False
4070a,70,46,False
39789,70,14,False
3822,70,10,False
3821,70,10,False
3024,70,12,False
3023,70,105,False
3623,70,20,False
3666,70,1,False
3020,70,30,False
3034,70,2,False
3033,70,1,False
6141,70,19,False
48336,70,39,False
32028,70,24,False
4510,70,6,False
33909,70,20,False
3176,70,9,False
3665,70,2,False
59443,70,29,False
32034,70,5,False
3700,70,1,False
18654,70,1,False
3070b,70,26,False
3069b,70,1,False
25269,70,2,False
73825,19,2,False
99781,19,4,False
28802,19,2,False
44728,19,4,False
99207,19,10,False
